#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
           2.2    6.0209e-9 
           2.3   8.0483e-10 
           2.4    3.6825e-9 
           2.5     8.562e-9 
           2.6   8.7584e-10 
           2.7    1.1362e-9 
           2.8    4.8136e-9 
           2.9    7.4309e-9 
             3    6.3471e-9 
           3.1    1.0048e-8 
           3.2    4.0849e-9 
           3.3    8.1174e-9 
           3.4     7.843e-8 
           3.5    3.7754e-7 
           3.6    7.4072e-9 
           3.7     7.715e-9 
           3.8   5.9178e-10 
           3.9    1.1487e-8 
             4   3.7874e-10 
           4.1    4.971e-10 
           4.2    4.0325e-9 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei6.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  42
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    3.1369e-8 
         0.005    1.8822e-8 
          0.01    4.6074e-8 
          0.05    5.3799e-8 
           0.1    5.9445e-8 
           0.2    7.3561e-8 
           0.3    6.6425e-8 
           0.4    6.4229e-8 
           0.5    6.8072e-8 
           0.6    6.0621e-8 
           0.7    5.7798e-8 
           0.8    4.9407e-8 
           0.9    3.8741e-8 
             1    3.6232e-8 
           1.1    3.0271e-8 
           1.2    2.2821e-8 
           1.3    2.4468e-8 
           1.4    1.6234e-8 
           1.5    1.6155e-8 
           1.6    1.7881e-8 
           1.7    2.0547e-8 
           1.8    1.7959e-8 
           1.9    1.0979e-8 
             2    6.7444e-9 
           2.1    6.5092e-9 
           2.2    6.5092e-9 
           2.3     7.215e-9 
           2.4    9.9598e-9 
           2.5     6.117e-9 
           2.6    6.2739e-9 
           2.7    7.2934e-9 
           2.8    8.0776e-9 
           2.9    7.8424e-9 
             3    3.0821e-7 
           3.1    7.7639e-9 
           3.2    6.5876e-9 
           3.3    4.5486e-9 
           3.4    7.0581e-9 
           3.5    4.1565e-9 
           3.6    2.6664e-9 
           3.7    1.0195e-9 
           3.8   5.4896e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei6.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  31
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    2.3053e-8 
         0.001    1.9229e-9 
         0.005    2.1036e-8 
          0.01    2.6752e-8 
          0.05    2.8007e-8 
           0.1    3.7176e-8 
           0.2    3.1509e-8 
           0.3    2.7606e-8 
           0.4    2.2654e-8 
           0.5     2.076e-8 
           0.6     1.228e-8 
           0.7    1.2587e-8 
           0.8    1.1254e-8 
           0.9    1.1667e-8 
             1    9.8346e-9 
           1.1    6.4734e-9 
           1.2    4.2765e-9 
           1.3    3.3006e-9 
           1.4    3.6487e-9 
           1.5    4.5082e-9 
           1.6    5.6149e-9 
           1.7    6.0254e-9 
           1.8    4.5707e-9 
           1.9    8.0558e-8 
             2    5.3125e-8 
           2.1    5.6254e-9 
           2.2    6.0629e-9 
           2.3    5.1649e-9 
           2.4    3.2632e-9 
           2.5    2.8767e-9 
           2.6    5.384e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei7.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  54
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.3732e-8 
         0.005    1.3351e-9 
          0.01    1.0143e-7 
          0.05    6.5865e-8 
           0.1    7.1552e-8 
           0.2    8.0664e-8 
           0.3    1.0318e-7 
           0.4     7.217e-8 
           0.5    6.7396e-8 
           0.6    6.0416e-8 
           0.7    7.0474e-8 
           0.8    5.1789e-8 
           0.9    3.4428e-8 
             1     4.919e-8 
           1.1    3.8726e-8 
           1.2    3.6394e-8 
           1.3    3.1518e-8 
           1.4    3.4681e-8 
           1.5    1.8322e-8 
           1.6    2.7585e-8 
           1.7    2.3136e-8 
           1.8    2.6148e-8 
           1.9    1.8322e-8 
             2    2.3665e-8 
           2.1    2.0137e-8 
           2.2    3.6367e-8 
           2.3    2.2797e-8 
           2.4    9.2103e-9 
           2.5    1.2756e-8 
           2.6    2.5342e-8 
           2.7    1.0224e-8 
           2.8    7.4969e-9 
           2.9    4.6361e-9 
             3    8.6715e-9 
           3.1    1.6021e-9 
           3.2    1.3085e-8 
           3.3     1.284e-8 
           3.4    4.2627e-9 
           3.5    5.1479e-9 
           3.6    5.5929e-9 
           3.7    1.4922e-8 
           3.8    7.0964e-9 
           3.9    1.2238e-9 
             4    5.0366e-9 
           4.1    3.2836e-9 
           4.2    8.0262e-9 
           4.3    1.1526e-8 
           4.4    5.1356e-8 
           4.5    3.9362e-7 
           4.6   2.8927e-10 
           4.7   2.0026e-10 
           4.8    3.7906e-9 
           4.9    3.8573e-9 
             5   1.7801e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei7.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  52
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.1058e-8 
         0.005    2.6539e-8 
          0.01    2.7645e-8 
          0.05    4.9687e-8 
           0.1    5.3667e-8 
           0.2     5.352e-8 
           0.3    6.1113e-8 
           0.4    5.0129e-8 
           0.5    6.0523e-8 
           0.6    5.0276e-8 
           0.7    3.7302e-8 
           0.8    3.5238e-8 
           0.9    3.4574e-8 
             1     3.052e-8 
           1.1    2.8087e-8 
           1.2    2.4475e-8 
           1.3    1.9167e-8 
           1.4    2.1378e-8 
           1.5    2.4032e-8 
           1.6    2.1378e-8 
           1.7    2.3664e-8 
           1.8    2.0052e-8 
           1.9    1.9757e-8 
             2    1.9462e-8 
           2.1    1.4375e-8 
           2.2    1.0616e-8 
           2.3    7.5931e-9 
           2.4      1.01e-8 
           2.5    6.7084e-9 
           2.6    1.0542e-8 
           2.7    8.6988e-9 
           2.8    7.2982e-9 
           2.9     9.436e-9 
             3    9.5098e-9 
           3.1    1.1205e-8 
           3.2    8.0354e-9 
           3.3    7.7405e-9 
           3.4    5.5289e-9 
           3.5    6.9296e-9 
           3.6    5.7501e-9 
           3.7    3.5385e-9 
           3.8    2.5212e-8 
           3.9    2.3163e-7 
             4    2.4327e-9 
           4.1    1.6218e-9 
           4.2    2.4327e-9 
           4.3    1.6218e-9 
           4.4    1.6955e-9 
           4.5   6.6347e-10 
           4.6     2.359e-9 
           4.7   1.4744e-10 
           4.8   2.2116e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei7.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  37
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    8.3429e-9 
         0.001     1.394e-8 
         0.005     2.198e-8 
          0.01    2.1765e-8 
          0.05    2.2258e-8 
           0.1    2.7823e-8 
           0.2    2.7447e-8 
           0.3    1.8197e-8 
           0.4    1.7893e-8 
           0.5    1.4524e-8 
           0.6     1.217e-8 
           0.7    1.1809e-8 
           0.8    1.2898e-8 
           0.9    1.2194e-8 
             1     9.561e-9 
           1.1     1.071e-8 
           1.2     9.373e-9 
           1.3    6.3978e-9 
           1.4    5.6386e-9 
           1.5    4.6472e-9 
           1.6    5.5654e-9 
           1.7    5.1434e-9 
           1.8     5.288e-9 
           1.9    7.5492e-9 
             2    6.3264e-9 
           2.1    6.6653e-9 
           2.2    7.4164e-9 
           2.3    3.8257e-9 
           2.4    2.9942e-9 
           2.5    3.1514e-9 
           2.6    8.8137e-8 
           2.7    2.8779e-8 
           2.8    1.5201e-9 
           2.9    1.6548e-9 
             3   7.9531e-10 
           3.1    1.3764e-9 
           3.2   1.8075e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei8.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  65
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    4.4289e-9 
         0.005    1.6512e-8 
          0.01    3.3687e-8 
          0.05    1.0273e-7 
           0.1    7.0668e-8 
           0.2    7.5513e-8 
           0.3    1.0334e-7 
           0.4    8.3448e-8 
           0.5    8.4199e-8 
           0.6    4.0959e-8 
           0.7    4.5711e-8 
           0.8     5.968e-8 
           0.9    4.3171e-8 
             1    3.8481e-8 
           1.1    3.1353e-8 
           1.2    1.9976e-8 
           1.3    2.5713e-8 
           1.4    3.2426e-8 
           1.5    3.1763e-8 
           1.6    3.1873e-8 
           1.7    2.5691e-8 
           1.8    1.3696e-8 
           1.9    1.3784e-8 
             2    2.1111e-8 
           2.1    1.7569e-8 
           2.2    1.3872e-8 
           2.3     1.748e-8 
           2.4    1.8209e-8 
           2.5    1.7856e-8 
           2.6    1.1126e-8 
           2.7     1.491e-8 
           2.8    1.8033e-8 
           2.9    2.1884e-8 
             3    1.4248e-8 
           3.1    2.5227e-8 
           3.2    2.4829e-8 
           3.3    2.4741e-8 
           3.4    3.4664e-8 
           3.5    2.0337e-8 
           3.6    2.3703e-8 
           3.7    8.7844e-9 
           3.8    2.0404e-8 
           3.9    1.2481e-8 
             4    4.5358e-9 
           4.1     5.088e-9 
           4.2   6.6263e-10 
           4.3    1.1265e-9 
           4.4    4.9113e-9 
           4.5    3.2374e-9 
           4.6    1.0454e-8 
           4.7   5.3011e-10 
           4.8    7.7242e-9 
           4.9    8.0555e-9 
             5    3.8952e-9 
           5.1   4.6384e-10 
           5.2   6.4054e-10 
           5.3    2.8405e-8 
           5.4    3.1991e-8 
           5.5    3.9449e-7 
           5.6   2.6505e-10 
           5.7   1.9879e-10 
           5.8   2.8714e-10 
           5.9   2.6505e-10 
             6   3.9758e-10 
           6.1   6.6263e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei8.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  60
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    2.0124e-8 
         0.005    1.7562e-8 
          0.01    2.8722e-8 
