#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
          11.6   9.5115e-10 
          11.8    5.0955e-8 
            12    3.7672e-8 
          12.2   2.7176e-10 
          12.4   1.3588e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.60E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  50
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    9.2454e-9 
         0.005    8.7956e-9 
          0.01    6.0053e-9 
          0.05    1.1308e-8 
           0.1     1.411e-8 
           0.2    1.3753e-8 
           0.4    6.7878e-9 
           0.6    5.0458e-9 
           0.8    3.3833e-9 
             1     6.002e-9 
           1.2    1.1373e-8 
           1.4    1.1351e-8 
           1.6    7.4546e-9 
           1.8    6.4468e-9 
             2    5.0525e-9 
           2.2    3.9597e-9 
           2.4    4.1612e-9 
           2.6    2.4688e-9 
           2.8    3.8281e-9 
             3    3.0718e-9 
           3.2    3.7848e-9 
           3.4    2.2705e-9 
           3.6    3.0485e-9 
           3.8     5.142e-9 
             4    4.0063e-9 
           4.2    3.9614e-9 
           4.4    4.6527e-9 
           4.6     3.918e-9 
           4.8    3.2717e-9 
             5    3.3113e-9 
           5.2     2.582e-9 
           5.4    2.0456e-9 
           5.6    2.1306e-9 
           5.8    1.6475e-9 
             6    2.3138e-9 
           6.2     1.842e-9 
           6.4     2.338e-9 
           6.6    1.5126e-9 
           6.8     1.959e-9 
             7    1.3793e-9 
           7.2    1.0845e-9 
           7.4   9.1288e-10 
           7.6    1.3356e-9 
           7.8   9.3453e-10 
             8   9.5786e-10 
           8.2     6.68e-10 
           8.4    7.5529e-9 
           8.6    7.1963e-9 
             9   1.3327e-10 
           9.2   6.6633e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.70E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  76
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    1.7533e-9 
          0.01    2.9296e-9 
          0.05    3.8385e-9 
           0.1    7.3115e-9 
           0.2       2.8e-8 
           0.4    2.6316e-8 
           0.6    1.9416e-8 
           0.8    2.3571e-8 
             1    2.2891e-8 
           1.2    2.6511e-8 
           1.4    1.8455e-8 
           1.6    1.8994e-8 
           1.8    1.3026e-8 
             2     1.196e-8 
           2.2     8.313e-9 
           2.4    7.9379e-9 
           2.6    1.5964e-9 
           2.8    9.8434e-9 
             3    5.5997e-9 
           3.2    3.4442e-9 
           3.4    3.2807e-9 
           3.6    7.5821e-9 
           3.8    9.617e-10 
             4    9.7857e-9 
           4.2    1.2009e-8 
           4.4     5.792e-9 
           4.6    1.0228e-8 
           4.8    7.7841e-9 
             5    7.6687e-9 
           5.2    3.0307e-9 
           5.4    7.1301e-9 
           5.6    2.7614e-9 
           5.8    7.2359e-9 
             6    2.9153e-9 
           6.2   5.3855e-10 
           6.4    2.6844e-9 
           6.6    2.9537e-9 
           6.8   4.2315e-10 
             7    2.6844e-9 
           7.2    2.4921e-9 
           7.4    2.6844e-9 
           7.6   3.0774e-10 
           7.8    4.8303e-9 
             8    2.7614e-9 
           8.2    3.0307e-9 
           8.4    3.1364e-9 
           8.6    1.6136e-9 
           8.8    4.9457e-9 
             9    7.4763e-9 
           9.2    7.3224e-9 
           9.4    5.5612e-9 
           9.6    9.6991e-9 
           9.8    9.3049e-9 
            10    1.1701e-8 
          10.2     5.215e-9 
          10.4    6.9378e-9 
          10.6    5.0131e-9 
          10.8    1.5637e-8 
            11     5.292e-9 
          11.2   8.5591e-10 
          11.4    3.3288e-9 
          11.6    6.8052e-9 
          11.8    1.4233e-9 
            12    1.3751e-8 
          12.2    7.2455e-9 
          12.4   4.6161e-10 
          12.6    4.8303e-9 
          12.8    4.5226e-9 
            13    2.3382e-9 
          13.2    2.2613e-9 
          13.4    2.3382e-9 
          13.6   7.6936e-11 
          13.8   7.6936e-11 
            14    1.3013e-8 
          14.2    1.1136e-8 
          14.4    1.3787e-7 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.70E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  73
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.3722e-9 
         0.005    5.0978e-9 
          0.01    1.3382e-8 
          0.05    1.9244e-8 
           0.1    1.8288e-8 
           0.2    2.6126e-8 
           0.4    2.3641e-8 
           0.6    2.6986e-8 
           0.8    1.9977e-8 
             1     1.507e-8 
           1.2    1.1693e-8 
           1.4    1.1852e-8 
           1.6     7.583e-9 
           1.8     1.061e-8 
             2     5.958e-9 
           2.2     8.252e-9 
           2.4    6.5634e-9 
           2.6    5.8625e-9 
           2.8    6.4041e-9 
             3    7.0413e-9 
           3.2    7.6148e-9 
           3.4    7.3918e-9 
           3.6    1.0291e-8 
           3.8    1.0801e-8 
             4     7.583e-9 
           4.2      8.73e-9 
           4.4    6.1173e-9 
           4.6    4.3331e-9 
           4.8    2.8038e-9 
             5    4.9385e-9 
           5.2    4.6836e-9 
           5.4    2.3896e-9 
           5.6    3.0587e-9 
           5.8    3.8871e-9 
             6    3.0587e-9 
           6.2    3.1543e-9 
           6.4    6.9776e-9 
           6.6    4.3331e-9 
           6.8    4.6836e-9 
             7    5.0659e-9 
           7.2    5.5757e-9 
           7.4    4.2694e-9 
           7.6     5.735e-9 
           7.8    3.9508e-9 
             8    4.9703e-9 
           8.2    3.8233e-9 
           8.4    5.5757e-9 
           8.6    5.3527e-9 
           8.8    5.8306e-9 
             9    4.1738e-9 
           9.2    3.3136e-9 
           9.4    4.7155e-9 
           9.6    2.8356e-9 
           9.8     3.664e-9 
            10    3.9508e-9 
          10.2     3.441e-9 
          10.4    4.1738e-9 
          10.6    4.0464e-9 
          10.8    5.2252e-9 
            11    2.6763e-9 
          11.2    1.7842e-9 
          11.4    1.2744e-9 
          11.6    1.8798e-9 
          11.8   6.3722e-10 
            12   4.1419e-10 
          12.2   8.9211e-10 
          12.4   8.9211e-10 
          12.6    1.7046e-8 
          12.8    6.1619e-8 
            13   2.8675e-10 
          13.2   2.5489e-10 
          13.4   1.2744e-10 
          13.8   1.2744e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.70E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  51
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    1.5874e-8 
          0.01    5.8435e-9 
          0.05    1.4824e-8 
           0.1    1.3484e-8 
           0.2    9.7128e-9 
           0.4    6.0704e-9 
           0.6    5.8673e-9 
           0.8    3.1608e-9 
             1    5.4814e-9 
           1.2    3.7201e-9 
           1.4    5.8712e-9 
           1.6    5.5123e-9 
           1.8    7.8247e-9 
             2    7.5922e-9 
           2.2    5.2599e-9 
           2.4    5.1607e-9 
           2.6    3.9252e-9 
           2.8      2.63e-9 
             3    1.9468e-9 
           3.2    3.0065e-9 
           3.4    2.1499e-9 
           3.6    2.4015e-9 
           3.8    2.5718e-9 
             4    2.3159e-9 
           4.2    2.1081e-9 
           4.4    2.2854e-9 
           4.6    2.7389e-9 
           4.8    2.7698e-9 
             5    3.4873e-9 
           5.2    3.1936e-9 
           5.4    2.3796e-9 
           5.6    2.6936e-9 
           5.8    1.7948e-9 
             6    2.0452e-9 
           6.2    1.5656e-9 
           6.4    2.4421e-9 
           6.6    1.2312e-9 
           6.8    2.2804e-9 
             7    1.8784e-9 
           7.2    2.2175e-9 
           7.4    1.2312e-9 
           7.6    1.0859e-9 
           7.8    7.984e-10 
             8   8.5621e-10 
           8.2   5.8435e-10 
           8.4   4.5935e-10 
           8.6   6.2496e-11 
           8.8   4.5935e-10 
             9    9.5293e-9 
           9.2    6.4481e-9 
           9.4   6.2496e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.80E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  82
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    2.0741e-9 
         0.005   8.4975e-10 
          0.01    3.4132e-9 
          0.05    1.0782e-8 
           0.1    1.1259e-8 
           0.2    2.3659e-8 
           0.4    3.4149e-8 
           0.6    3.0797e-8 
           0.8    2.2718e-8 
             1    1.9451e-8 
           1.2    2.4252e-8 
           1.4    9.4673e-9 
           1.6    1.6508e-8 
           1.8     3.511e-8 
             2    1.2945e-8 
           2.2    1.3029e-8 
           2.4    1.2526e-8 
           2.6    3.9618e-9 
           2.8    7.2871e-9 
             3    7.6775e-9 
           3.2     1.501e-8 
           3.4    1.4051e-8 
           3.6    9.7638e-9 
           3.8    7.8563e-9 
             4    7.1443e-9 
           4.2    3.3525e-9 
           4.4    3.3811e-9 
           4.6    4.8581e-9 
           4.8    1.1422e-8 
             5    5.7319e-9 
           5.2   7.7117e-10 
           5.4    5.6292e-9 
           5.6    5.7435e-9 
           5.8    5.3912e-9 
             6    3.2097e-9 
           6.2    9.4877e-9 
           6.4    9.0307e-9 
           6.6    2.6575e-9 
           6.8    4.9818e-9 
             7      4.82e-9 
           7.2    7.4374e-9 
           7.4    6.474e-10 
           7.6   2.6658e-10 
           7.8    2.4671e-9 
             8    2.5052e-9 
           8.2    2.4671e-9 
           8.4    2.3148e-9 
           8.6    2.6956e-9 
           8.8   5.8075e-10 
             9    2.6956e-9 
           9.2    3.0098e-9 
           9.4   9.9014e-10 
           9.6   6.0932e-10 
           9.8    5.2389e-9 
            10    9.5734e-9 
          10.2    7.1729e-9 
          10.4    7.2586e-9 
          10.6    7.3252e-9 
          10.8    1.3138e-9 
            11    2.9241e-9 
          11.2    9.9902e-9 
          11.4    7.4109e-9 
          11.6    5.0295e-9 
          11.8    4.7058e-9 
            12    2.6195e-9 
          12.2   7.2356e-10 
          12.4   6.8548e-10 
          12.6    5.4864e-9 
          12.8    7.2871e-9 
            13    4.8962e-9 
          13.2    8.8784e-9 
          13.4    6.6778e-9 
          13.6    6.5636e-9 
          13.8    2.5052e-9 
            14   1.5233e-10 
          14.2   1.1425e-10 
          14.4   1.5233e-10 
          14.6   3.8082e-11 
          14.8   3.8082e-11 
            15     1.232e-8 
          15.2    7.5879e-9 
          15.4    1.4503e-7 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.80E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  75
#data...
#            X            Y
#          MeV      b/eV/sr
          0.01    1.1986e-8 
          0.05    1.8294e-8 
           0.1    2.0881e-8 
           0.2    2.3782e-8 
           0.4    1.9745e-8 
           0.6    1.7916e-8 
           0.8    2.0344e-8 
             1    1.6969e-8 
           1.2    1.4446e-8 
           1.4    1.3153e-8 
           1.6    1.4131e-8 
           1.8    1.2743e-8 
             2    7.6962e-9 
           2.2    8.2324e-9 
           2.4    7.7277e-9 
           2.6    7.2231e-9 
           2.8    7.1915e-9 
             3    6.8761e-9 
           3.2    6.8761e-9 
           3.4    5.5513e-9 
           3.6    6.4976e-9 
           3.8    8.1378e-9 
             4     4.542e-9 
           4.2    4.7943e-9 
           4.4    6.4661e-9 
           4.6    7.3177e-9 
           4.8    7.8539e-9 
             5    5.6775e-9 
           5.2    6.3714e-9 
           5.4    5.6144e-9 
           5.6    3.9112e-9 
           5.8    3.0595e-9 
             6    3.4065e-9 
           6.2    2.5549e-9 
           6.4    3.4381e-9 
           6.6    3.3434e-9 
           6.8    4.0373e-9 
             7    3.2803e-9 
           7.2     2.681e-9 
           7.4    2.8072e-9 
           7.6    3.1857e-9 
           7.8     2.271e-9 
             8    4.3212e-9 
           8.2    4.0373e-9 
           8.4    4.9521e-9 
           8.6     3.028e-9 
           8.8    4.7943e-9 
             9    5.3936e-9 
           9.2    5.5513e-9 
           9.4    3.2803e-9 
           9.6     5.299e-9 
           9.8    3.2803e-9 
            10    4.2897e-9 
          10.2    4.7943e-9 
          10.4    2.3341e-9 
          10.6    3.6588e-9 
          10.8    3.5327e-9 
            11     3.785e-9 
          11.2    3.9112e-9 
          11.4     5.299e-9 
          11.6    4.3212e-9 
          11.8     2.271e-9 
            12    2.3341e-9 
          12.2    1.7663e-9 
          12.4     1.514e-9 
          12.6    1.0093e-9 
          12.8    1.3878e-9 
            13    3.785e-10 
          13.2   1.2617e-10 
          13.4   1.2617e-10 
          13.6     4.766e-8 
          13.8    2.4823e-8 
            14   1.2617e-10 
          14.2   1.2617e-10 
          15.2   1.2617e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.80E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  53
#data...
#            X            Y
#          MeV      b/eV/sr
          0.01    9.7137e-9 
          0.05    9.9225e-9 
           0.1    1.0902e-8 
           0.2     1.001e-8 
           0.4    9.7721e-9 
           0.6    7.2524e-9 
           0.8    5.4508e-9 
             1    4.7114e-9 
           1.2    5.6778e-9 
           1.4    5.3329e-9 
           1.6    3.8174e-9 
           1.8    4.1113e-9 
             2    5.1674e-9 
           2.2    4.6109e-9 
           2.4    7.1519e-9 
           2.6    5.1043e-9 
           2.8    5.0823e-9 
             3    3.6148e-9 
           3.2    4.2374e-9 
           3.4    3.3689e-9 
           3.6    2.5986e-9 
           3.8    2.0866e-9 
             4    2.7486e-9 
           4.2    2.2939e-9 
           4.4    1.4261e-9 
           4.6    1.2188e-9 
           4.8    2.1295e-9 
             5    1.9628e-9 
           5.2    2.5831e-9 
           5.4    2.6249e-9 
           5.6    2.4176e-9 
           5.8    2.6233e-9 
             6    2.7068e-9 
           6.2    1.7973e-9 
           6.4    1.7092e-9 
           6.6    1.3209e-9 
           6.8    1.9829e-9 
             7    1.7973e-9 
           7.2    2.1082e-9 
           7.4    1.6736e-9 
           7.6    1.5499e-9 
           7.8    1.7154e-9 
             8    2.4389e-9 
           8.2    1.5499e-9 
           8.4   3.5111e-10 
           8.6   5.9859e-10 
           8.8   4.1298e-10 
           9.2   2.8924e-10 
           9.4   4.9651e-10 
           9.6    7.1167e-9 
           9.8    3.3936e-9 
            10    2.9079e-9 
          10.2    6.187e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.90E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  85
#data...
#            X            Y
#          MeV      b/eV/sr
          0.01    2.5682e-9 
          0.05    9.3652e-9 
           0.1    1.4491e-8 
           0.2     2.429e-8 
           0.4    1.7225e-8 
           0.6    2.4515e-8 
           0.8    1.3748e-8 
             1    1.0704e-8 
           1.2     1.246e-8 
           1.4    1.0239e-8 
           1.6    3.9845e-9 
           1.8    6.3135e-9 
             2    6.1691e-9 
           2.2    6.3068e-9 
           2.4    6.5544e-9 
           2.6    9.8949e-9 
           2.8    7.9856e-9 
             3    8.0612e-9 
           3.2    8.8078e-9 
           3.4     1.209e-8 
           3.6    1.0461e-8 
           3.8    1.5919e-8 
             4    6.2619e-9 
           4.2     5.455e-9 
           4.4    1.0263e-8 
           4.6    5.0077e-9 
           4.8     1.158e-8 
             5    3.3374e-9 
           5.2    9.5335e-9 
           5.4    2.6768e-9 
           5.6   8.2592e-10 
           5.8    2.7438e-9 
             6   6.7967e-10 
           6.2    5.0937e-9 
           6.4    8.0851e-9 
           6.6    5.1453e-9 
           6.8    1.0444e-8 
             7    7.1597e-9 
           7.2     9.764e-9 
           7.4   3.5274e-10 
           7.6   4.3017e-10 
           7.8   4.6458e-10 
             8     2.804e-9 
           8.2    2.3413e-9 
           8.4      4.98e-9 
           8.6     2.718e-9 
           8.8   4.3877e-10 
             9    9.4112e-9 
           9.2   2.8391e-10 
           9.4    4.2094e-9 
           9.6    4.9044e-9 
           9.8    9.1722e-9 
            10    4.8012e-9 
          10.2    3.0363e-9 
          10.4   8.4313e-10 
          10.6    8.2228e-9 
          10.8    5.076e-10 
            11     7.502e-9 
          11.2      9.85e-9 
          11.4     3.193e-9 
          11.6    7.2027e-9 
          11.8    8.6425e-9 
            12    9.4217e-9 
          12.2    5.2227e-9 
          12.4    6.8672e-9 
          12.6    2.4359e-9 
          12.8    2.9589e-9 
            13     4.218e-9 
          13.2    2.8145e-9 
          13.4    2.5306e-9 
          13.6    5.2141e-9 
          13.8    5.9091e-9 
            14    5.2209e-9 
          14.2    2.6768e-9 
          14.4    8.5202e-9 
          14.6    4.8423e-9 
          14.8   1.4626e-10 
            15    4.8337e-9 
          15.2   1.8927e-10 
          15.4    4.9542e-9 
          15.6    2.4771e-9 
          15.8    7.743e-11 
            16    1.4953e-8 
          16.2    4.9641e-9 
          16.4    1.4166e-7 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.90E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  83
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.4252e-8 
          0.01    1.2256e-8 
          0.05    1.4936e-8 
           0.1    1.9838e-8 
           0.2    1.9126e-8 
           0.4    1.7444e-8 
           0.6    1.9325e-8 
           0.8    1.3054e-8 
             1    1.1886e-8 
           1.2    1.0261e-8 
           1.4    9.6056e-9 
           1.6    1.1031e-8 
           1.8    9.4345e-9 
             2    7.8384e-9 
           2.2    7.9524e-9 
           2.4     9.349e-9 
           2.6    8.2089e-9 
           2.8    8.1519e-9 
             3    8.0094e-9 
           3.2    5.7291e-9 
           3.4    8.4654e-9 
           3.6    6.4417e-9 
           3.8    7.6103e-9 
             4    5.5011e-9 
           4.2    3.2779e-9 
           4.4    4.6745e-9 
           4.6    3.6484e-9 
           4.8    3.2209e-9 
             5    3.7624e-9 
           5.2    4.6745e-9 
           5.4    4.2755e-9 
           5.6    5.7006e-9 
           5.8    6.1567e-9 
             6    6.8692e-9 
           6.2     4.817e-9 
           6.4    2.3658e-9 
           6.6    2.5653e-9 
           6.8    2.3373e-9 
             7    1.6817e-9 
           7.2    2.3658e-9 
           7.4    2.6793e-9 
           7.6    2.9643e-9 
           7.8    1.0261e-9 
             8    2.5653e-9 
           8.2    2.0522e-9 
           8.4    2.9358e-9 
           8.6    2.2517e-9 
           8.8    2.9358e-9 
             9    4.2185e-9 
           9.2    4.2755e-9 
           9.4    4.1614e-9 
           9.6    3.9049e-9 
           9.8    4.7885e-9 
            10    5.6721e-9 
          10.2     4.361e-9 
          10.4    3.8479e-9 
          10.6    3.3064e-9 
          10.8    2.7648e-9 
            11    3.7909e-9 
          11.2    3.5059e-9 
          11.4    2.7933e-9 
          11.6    2.4798e-9 
          11.8    1.9382e-9 
            12    2.0522e-9 
          12.2    3.9619e-9 
          12.4    3.6769e-9 
          12.6    2.6508e-9 
          12.8    2.1092e-9 
            13    1.7957e-9 
          13.2   7.6958e-10 
          13.4   8.2659e-10 
          13.6   4.8455e-10 
          13.8   6.5557e-10 
            14   6.2707e-10 
          14.2   2.2803e-10 
          14.4    1.8042e-8 
          14.6    4.4066e-8 
          14.8   2.5653e-10 
            15   2.5653e-10 
          15.2   1.1401e-10 
          15.4   1.4252e-10 
          15.8   1.4252e-10 
          16.6   1.4252e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.90E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  58
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.0972e-8 
          0.01    9.2514e-9 
          0.05    8.2566e-9 
           0.1    1.0039e-8 
           0.2    8.5556e-9 
           0.4    7.0195e-9 
           0.6    5.4009e-9 
           0.8    4.3505e-9 
             1    6.4447e-9 
           1.2    5.5044e-9 
           1.4    3.8557e-9 
           1.6    7.3243e-9 
           1.8    4.6961e-9 
             2    4.1003e-9 
           2.2     4.744e-9 
           2.4    2.8483e-9 
           2.6    2.6421e-9 
           2.8    3.1463e-9 
             3    4.5532e-9 
           3.2    4.2998e-9 
           3.4    3.8547e-9 
           3.6    4.6737e-9 
           3.8      3.74e-9 
             4    2.7319e-9 
           4.2    2.2032e-9 
           4.4    1.3911e-9 
           4.6    1.4753e-9 
           4.8    1.6249e-9 
             5    1.4093e-9 
           5.2    1.9373e-9 
           5.4    2.0687e-9 
           5.6    3.0583e-9 
           5.8    2.2878e-9 
             6    3.5213e-9 
           6.2    1.9796e-9 
           6.4    2.3426e-9 
           6.6    2.3335e-9 
           6.8    2.8479e-9 
             7    1.2269e-9 
           7.2    1.8566e-9 
           7.4    2.2962e-9 
           7.6     1.829e-9 
           7.8    1.1528e-9 
             8    5.923e-10 
           8.2    1.1483e-9 
           8.4   8.0755e-10 
           8.6   9.8926e-10 
           8.8     1.106e-9 
             9   6.2585e-10 
           9.2    5.881e-10 
           9.4   3.1275e-10 
           9.6   1.8695e-10 
           9.8   1.6773e-10 
            10   6.9887e-11 
          10.2    2.8741e-9 
          10.4    4.2712e-9 
          10.6    4.4728e-9 
          10.8    5.591e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  91
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    3.9089e-9 
          0.01    3.0758e-9 
          0.05    1.0132e-8 
           0.1     1.977e-8 
           0.2    1.1364e-8 
           0.4    3.6313e-8 
           0.6    2.0459e-8 
           0.8    1.7552e-8 
             1    8.3196e-9 
           1.2    1.7474e-8 
           1.4    1.5452e-8 
           1.6    2.0667e-8 
           1.8    6.0475e-9 
             2     1.195e-8 
           2.2    3.4293e-9 
           2.4    2.4759e-8 
           2.6     6.999e-9 
           2.8    1.3916e-8 
             3    5.8648e-9 
           3.2    6.4459e-9 
           3.4    3.4883e-9 
           3.6    7.9281e-9 
           3.8    5.6125e-9 
             4    7.1972e-9 
           4.2    8.2811e-9 
           4.4    9.5718e-9 
           4.6    1.0751e-8 
           4.8     1.192e-8 
             5     1.537e-8 
           5.2    5.0923e-9 
           5.4    8.5943e-9 
           5.6    5.2906e-9 
           5.8    6.6423e-9 
             6     4.492e-9 
           6.2    4.2919e-9 
           6.4    4.0395e-9 
           6.6    4.7511e-9 
           6.8   6.6126e-10 
             7    2.0633e-9 
           7.2      2.42e-9 
           7.4   9.3098e-10 
           7.6    2.6636e-9 
           7.8    2.7506e-9 
             8    3.2882e-9 
           8.2    4.7008e-9 
           8.4    4.9947e-9 
           8.6    2.5244e-9 
           8.8      2.42e-9 
             9     2.653e-9 
           9.2    8.5209e-9 
           9.4    4.6293e-9 
           9.6    4.7511e-9 
           9.8    4.1526e-9 
            10    6.8579e-9 
          10.2      5.28e-9 
          10.4    5.0121e-9 
          10.6   6.0035e-10 
          10.8    4.7163e-9 
            11    2.1677e-9 
          11.2    2.6636e-9 
          11.4    9.2586e-9 
          11.6   8.0047e-10 
          11.8   8.3527e-10 
            12    3.1838e-9 
          12.2     5.308e-9 
          12.4    6.8337e-9 
          12.6    3.1596e-9 
          12.8    9.6327e-9 
            13    9.4761e-9 
          13.2    9.4152e-9 
          13.4    7.0667e-9 
          13.6    4.6467e-9 
          13.8    2.7836e-9 
            14   3.4803e-10 
          14.2     1.081e-8 
          14.4    2.4722e-9 
          14.6    2.8463e-9 
          14.8    5.6889e-9 
            15    1.1651e-8 
          15.2     8.869e-9 
          15.4    5.1582e-9 
          15.6    7.0474e-9 
          15.8    2.1068e-9 
            16    6.8821e-9 
          16.2   1.1311e-10 
          16.4   1.6531e-10 
          16.6   1.3051e-10 
          16.8   7.8307e-11 
            17    2.1317e-8 
          17.2    5.0023e-9 
          17.4    1.8593e-7 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  88
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    5.7652e-9 
         0.005    4.6121e-9 
          0.01    5.9093e-9 
          0.05     1.326e-8 
           0.1    1.5393e-8 
           0.2    1.6229e-8 
           0.4    1.6402e-8 
           0.6    1.3375e-8 
           0.8    1.1271e-8 
             1     1.081e-8 
           1.2    1.0579e-8 
           1.4    7.8983e-9 
           1.6    9.3107e-9 
           1.8    6.8894e-9 
             2    8.2154e-9 
           2.2    1.0003e-8 
           2.4    9.1954e-9 
           2.6    7.7541e-9 
           2.8    6.3993e-9 
             3    7.3794e-9 
           3.2    9.8296e-9 
           3.4    7.0623e-9 
           3.6    5.6499e-9 
           3.8    5.9093e-9 
             4    5.3904e-9 
           4.2    7.4082e-9 
           4.4    7.1776e-9 
           4.6    5.9381e-9 
           4.8    4.8427e-9 
             5     2.479e-9 
           5.2    2.1619e-9 
           5.4    2.7673e-9 
           5.6    3.5456e-9 
           5.8    2.7385e-9 
             6    1.8449e-9 
           6.2    5.1886e-9 
           6.4    5.5634e-9 
           6.6    4.4968e-9 
           6.8    5.7363e-9 
             7     5.304e-9 
           7.2    4.5545e-9 
           7.4    2.4214e-9 
           7.6    2.8826e-9 
           7.8    2.4502e-9 
             8     2.652e-9 
           8.2    1.3836e-9 
           8.4    2.1043e-9 
           8.6    1.8449e-9 
           8.8    2.7961e-9 
             9    3.5168e-9 
           9.2    3.1997e-9 
           9.4     2.479e-9 
           9.6    2.9691e-9 
           9.8    3.6032e-9 
            10    3.3438e-9 
          10.2    4.5545e-9 
          10.4     3.978e-9 
          10.6     3.315e-9 
          10.8    4.5257e-9 
            11    4.4392e-9 
          11.2    4.0644e-9 
          11.4    4.7274e-9 
          11.6     4.295e-9 
          11.8    2.3061e-9 
            12    3.4591e-9 
          12.2    2.0178e-9 
          12.4    2.1331e-9 
          12.6    2.4214e-9 
          12.8    2.7961e-9 
            13    2.3925e-9 
          13.2    3.8915e-9 
          13.4    2.7961e-9 
          13.6    2.1043e-9 
          13.8    1.4701e-9 
            14    1.3548e-9 
          14.2   9.2243e-10 
          14.4   8.6477e-10 
          14.6   2.5943e-10 
          14.8    1.153e-10 
            15   2.5943e-10 
          15.2   2.5943e-10 
          15.4    4.1567e-8 
          15.6    2.0092e-8 
          15.8   2.5943e-10 
            16    1.153e-10 
          16.4   1.4413e-10 
          16.6    1.153e-10 
          16.8    1.153e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  62
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    3.3714e-8 
         0.001    1.0178e-9 
         0.005    5.0888e-9 
          0.01    6.3275e-9 
          0.05    1.0367e-8 
           0.1    9.4795e-9 
           0.2    9.0504e-9 
           0.4     7.804e-9 
           0.6    4.5093e-9 
           0.8    5.4522e-9 
             1    4.9617e-9 
           1.2    5.2451e-9 
           1.4    6.2759e-9 
           1.6    5.7247e-9 
           1.8    4.6422e-9 
             2    4.9917e-9 
           2.2    4.1411e-9 
           2.4    6.1049e-9 
           2.6    4.9299e-9 
           2.8    1.4344e-9 
             3    2.0822e-9 
           3.2    3.0024e-9 
           3.4    2.5179e-9 
           3.6    4.1379e-9 
           3.8     4.528e-9 
             4    4.5666e-9 
